Num	X	Y	Z	Real_Index	Real_Index_Top	Real_Index_Bot_Thick	Oil_GRV_10_6	spill_Z	top_Z	OWC_depth	OWC_area_10_6	nb_Connected	GRV_density__m_	Hc_column__m_	Oil_GRV_quantile	OWC_Base_Area_10_6
        1.00000	   395720.31806	  7159352.47112	      990.57928	         .00000	         .00000	         .00000	      104.44463	      990.57928	      949.99261	      990.57928	        6.70188	        1.00000	       15.58439	       40.58667	       73.00000	        3.51000
        2.00000	   395846.38740	  7159425.65937	      984.03906	        1.00000	        1.00000	        1.00000	       68.33327	      984.03906	      950.99329	      984.03906	        5.15938	        1.00000	       13.24448	       33.04578	       20.00000	        3.24813
        3.00000	   395794.94946	  7159326.39136	      985.98395	        2.00000	        2.00000	        2.00000	       62.89583	      985.98395	      947.91071	      985.98395	        4.94812	        1.00000	       12.71104	       38.07324	       15.50000	        2.29312
        4.00000	   395721.03963	  7159402.46591	      991.87573	        3.00000	        3.00000	        3.00000	       79.26017	      991.87573	      942.91193	      991.87573	        5.41500	        1.00000	       14.63715	       48.96381	       32.50000	        3.78312
        5.00000	   394344.48197	  7157572.14108	      996.64435	        4.00000	        4.00000	        4.00000	      128.36824	      996.64435	      944.85858	      996.64435	        7.77688	        1.00000	       16.50640	       51.78577	       96.50000	        4.02250
        6.00000	   395719.95727	  7159327.47372	      987.54742	        5.00000	        5.00000	        5.00000	       86.93113	      987.54742	      950.94189	      987.54742	        5.70813	        1.00000	       15.22937	       36.60553	       45.00000	        3.46250
        7.00000	   395694.95988	  7159327.83451	      993.57971	        6.00000	        6.00000	        6.00000	       78.35999	      993.57971	      951.34204	      993.57971	        5.47125	        1.00000	       14.32214	       42.23767	       31.50000	        2.66875
        8.00000	   395871.38480	  7159425.29859	      987.84381	        7.00000	        7.00000	        7.00000	      101.64483	      987.84381	      939.97577	      987.84381	        7.08750	        1.00000	       14.34142	       47.86804	       71.50000	        4.25938
        9.00000	   395769.95207	  7159326.75215	      984.17371	        8.00000	        8.00000	        8.00000	       82.04396	      984.17371	      948.12750	      984.17371	        5.96938	        1.00000	       13.74415	       36.04620	       37.00000	        3.87500
       10.00000	   395694.59909	  7159302.83711	      990.49902	        9.00000	        9.00000	        9.00000	       85.89178	      990.49902	      952.26709	      990.49902	        5.64625	        1.00000	       15.21218	       38.23193	       43.00000	        3.46937
       11.00000	   395644.60430	  7159303.55869	      990.14520	       10.00000	       10.00000	       10.00000	      104.05347	      990.14520	      947.71259	      990.14520	        6.11938	        1.00000	       17.00394	       42.43262	       72.50000	        3.61313
       12.00000	   395771.03443	  7159401.74434	      984.52460	       11.00000	       11.00000	       11.00000	       91.78308	      984.52460	      952.88226	      984.52460	        5.99125	        1.00000	       15.31952	       31.64233	       51.50000	        5.91813
       13.00000	   395546.16094	  7157679.81028	      989.72516	       12.00000	       12.00000	       12.00000	       74.08781	      989.72516	      946.34052	      989.72516	        5.56563	        1.00000	       13.31168	       43.38464	       25.00000	        2.91313
       14.00000	   394168.41784	  7157499.67440	      989.50201	       13.00000	       13.00000	       13.00000	       83.65609	      989.50201	      952.80444	      989.50201	        6.12625	        1.00000	       13.65535	       36.69757	       38.50000	        3.52938
       15.00000	   395721.03963	  7159402.46591	      989.97449	       14.00000	       14.00000	       14.00000	      100.84378	      989.97449	      947.82477	      989.97449	        7.05750	        1.00000	       14.28888	       42.14972	       69.00000	        4.57438
       16.00000	   395395.81578	  7157656.97760	      985.95825	       15.00000	       15.00000	       15.00000	      100.42609	      985.95825	      947.73444	      985.95825	        6.79750	        1.00000	       14.77397	       38.22382	       68.50000	        5.18563
       17.00000	   394668.62347	  7159242.63720	      973.39435	       16.00000	       16.00000	       16.00000	       39.09682	      973.39435	      948.47095	      973.39435	        3.12125	        1.00000	       12.52601	       24.92340	         .50000	        3.74187
       18.00000	   395644.60430	  7159303.55869	      986.82300	       17.00000	       17.00000	       17.00000	       52.55202	      986.82300	      949.82648	      986.82300	        4.95813	        1.00000	       10.59917	       36.99652	        4.50000	        2.48125
       19.00000	   392109.97243	  7156929.32143	      984.52917	       18.00000	       18.00000	       18.00000	       81.72146	      984.52917	      950.19604	      984.52917	        5.46812	        1.00000	       14.94506	       34.33313	       36.00000	        3.80188
       20.00000	   395619.60690	  7159303.91948	      989.61310	       19.00000	       19.00000	       19.00000	       93.71960	      989.61310	      951.32056	      989.61310	        6.05125	        1.00000	       15.48764	       38.29254	       56.00000	        3.51312
       21.00000	   395820.66843	  7159376.02537	      994.20886	       20.00000	       20.00000	       20.00000	      150.81422	      994.20886	      948.26166	      994.20886	        8.23625	        1.00000	       18.31103	       45.94720	       99.50000	        5.05937
       22.00000	   395593.16635	  7159204.29068	      990.94330	       21.00000	       21.00000	       21.00000	       84.83715	      990.94330	      941.35370	      990.94330	        5.19375	        1.00000	       16.33447	       49.58960	       39.50000	        3.16875
       23.00000	   394168.77862	  7157524.67179	      993.52875	       22.00000	       22.00000	       22.00000	      112.01975	      993.52875	      944.62292	      993.52875	        7.49937	        1.00000	       14.93721	       48.90582	       85.00000	        3.98187
       24.00000	   395720.67885	  7159377.46852	      987.41797	       23.00000	       23.00000	       23.00000	       81.12389	      987.41797	      952.47717	      987.41797	        6.11125	        1.00000	       13.27452	       34.94080	       35.50000	        4.59688
       25.00000	   395330.56484	  7158332.98967	      993.69159	       24.00000	       24.00000	       24.00000	       94.82478	      993.69159	      943.71301	      993.69159	        5.82500	        1.00000	       16.27893	       49.97858	       57.50000	        3.45250
       26.00000	   395771.75600	  7159451.73913	      987.49945	       25.00000	       25.00000	       25.00000	      108.39377	      987.49945	      951.71136	      987.49945	        6.84312	        1.00000	       15.83981	       35.78809	       79.00000	        5.51125
       27.00000	   395720.31806	  7159352.47112	      989.27435	       26.00000	       26.00000	       26.00000	       80.85321	      989.27435	      948.84094	      989.27435	        5.83875	        1.00000	       13.84769	       40.43341	       35.00000	        3.61625
       28.00000	   395643.52194	  7159228.56650	      984.55231	       27.00000	       27.00000	       27.00000	       91.56301	      984.55231	      950.85876	      984.55231	        6.42312	        1.00000	       14.25521	       33.69354	       50.50000	        6.13438
       29.00000	   395569.25132	  7159279.64365	      985.66425	       28.00000	       28.00000	       28.00000	       55.44323	      985.66425	      952.13513	      985.66425	        4.26188	        1.00000	       13.00912	       33.52911	        9.00000	        2.45563
       30.00000	   395796.03182	  7159401.38355	      988.23669	       29.00000	       29.00000	       29.00000	       72.17999	      988.23669	      949.95789	      988.23669	        5.44000	        1.00000	       13.26838	       38.27881	       22.50000	        3.72813
       31.00000	   392159.96722	  7156928.59985	      991.82788	       30.00000	       30.00000	       30.00000	       92.19437	      991.82788	      952.58582	      991.82788	        6.00688	        1.00000	       15.34814	       39.24207	       53.00000	        4.19688
       32.00000	   392160.32801	  7156953.59725	      992.15369	       31.00000	       31.00000	       31.00000	      110.06344	      992.15369	      951.30505	      992.15369	        5.73625	        1.00000	       19.18735	       40.84863	       82.50000	        3.52375
       33.00000	   394369.84016	  7157596.77769	      979.99011	       32.00000	       32.00000	       32.00000	       59.61634	      979.99011	      949.87213	      979.99011	        4.56750	        1.00000	       13.05229	       30.11798	       13.00000	        3.92125
       34.00000	   395420.45238	  7157631.61942	      989.06268	       33.00000	       33.00000	       33.00000	      106.32829	      989.06268	      945.73907	      989.06268	        6.99125	        1.00000	       15.20877	       43.32361	       75.50000	        3.35500
       35.00000	   394868.60264	  7159239.75090	      985.27405	       34.00000	       34.00000	       34.00000	       55.23083	      985.27405	      935.84900	      985.27405	        3.68875	        1.00000	       14.97278	       49.42505	        8.50000	        2.35500
       36.00000	   395644.60430	  7159303.55869	      994.09210	       35.00000	       35.00000	       35.00000	       92.42873	      994.09210	      946.04181	      994.09210	        5.65625	        1.00000	       16.34099	       48.05029	       54.00000	        3.55375
       37.00000	   395796.03182	  7159401.38355	      988.81250	       36.00000	       36.00000	       36.00000	       76.93636	      988.81250	      952.71393	      988.81250	        5.80312	        1.00000	       13.25775	       36.09857	       29.00000	        3.04125
       38.00000	   396019.30754	  7157547.96834	      998.53558	       37.00000	       37.00000	       37.00000	      118.69899	      998.53558	      941.83246	      998.53558	        7.14187	        1.00000	       16.62014	       56.70312	       90.00000	        2.54250
       39.00000	   395897.46456	  7159499.92999	      991.12482	       38.00000	       38.00000	       38.00000	      118.26547	      991.12482	      949.45490	      991.12482	        7.18375	        1.00000	       16.46292	       41.66992	       89.50000	        3.65937
       40.00000	   395696.04224	  7159402.82670	      998.02216	       39.00000	       39.00000	       39.00000	      105.94353	      998.02216	      950.52936	      998.02216	        6.48812	        1.00000	       16.32884	       47.49280	       75.00000	        2.97813
       41.00000	   395894.68134	  7157574.76967	      993.28351	       40.00000	       40.00000	       40.00000	       83.22616	      993.28351	      951.50092	      993.28351	        6.49937	        1.00000	       12.80526	       41.78259	       38.00000	        2.89937
       42.00000	   394319.84536	  7157597.49926	      987.52692	       41.00000	       41.00000	       41.00000	       73.16981	      987.52692	      948.36804	      987.52692	        6.29625	        1.00000	       11.62117	       39.15887	       23.50000	        2.51437
       43.00000	   395569.25132	  7159279.64365	      994.46094	       42.00000	       42.00000	       42.00000	       97.78574	      994.46094	      945.34863	      994.46094	        5.93875	        1.00000	       16.46571	       49.11230	       63.00000	        3.01938
       44.00000	   394868.60264	  7159239.75090	      984.55652	       43.00000	       43.00000	       43.00000	       65.36796	      984.55652	      945.62366	      984.55652	        4.43062	        1.00000	       14.75367	       38.93286	       16.00000	        4.07562
       45.00000	   395695.32066	  7159352.83191	      982.60345	       44.00000	       44.00000	       44.00000	       72.19533	      982.60345	      948.93018	      982.60345	        4.80813	        1.00000	       15.01528	       33.67328	       23.00000	        3.41563
       46.00000	   395770.67364	  7159376.74694	      991.77985	       45.00000	       45.00000	       45.00000	      106.82926	      991.77985	      949.52765	      991.77985	        6.47188	        1.00000	       16.50669	       42.25220	       77.00000	        3.85687
       47.00000	   392135.33061	  7156953.95804	      986.26526	       46.00000	       46.00000	       46.00000	       86.87835	      986.26526	      946.14240	      986.26526	        5.69063	        1.00000	       15.26693	       40.12286	       44.50000	        4.84688
       48.00000	   395896.02141	  7159399.94040	      985.09448	       47.00000	       47.00000	       47.00000	       51.16763	      985.09448	      948.45764	      985.09448	        3.82500	        1.00000	       13.37716	       36.63684	        4.00000	        2.60625
       49.00000	   395720.67885	  7159377.46852	      989.38556	       48.00000	       48.00000	       48.00000	       81.72964	      989.38556	      949.50903	      989.38556	        5.73938	        1.00000	       14.24016	       39.87653	       36.50000	        2.35188
       50.00000	   395694.23830	  7159277.83972	      987.28845	       49.00000	       49.00000	       49.00000	       75.29263	      987.28845	      936.17834	      987.28845	        4.97250	        1.00000	       15.14180	       51.11011	       26.00000	        4.44187
       51.00000	   395391.38325	  7159082.18999	      995.88885	       50.00000	       50.00000	       50.00000	      106.33548	      995.88885	      938.61102	      995.88885	        5.68000	        1.00000	       18.72104	       57.27783	       76.00000	        4.19938
       52.00000	   394319.12379	  7157547.50447	      984.27985	       51.00000	       51.00000	       51.00000	       89.70384	      984.27985	      946.67188	      984.27985	        5.27625	        1.00000	       17.00144	       37.60797	       47.50000	        5.30750
       53.00000	   394446.63628	  7157720.68231	      994.26709	       52.00000	       52.00000	       52.00000	       91.77203	      994.26709	      945.29761	      994.26709	        6.09562	        1.00000	       15.05539	       48.96948	       51.00000	        2.75500
